table_schema,table_name,table_kind,grain,ordinal_position,column_name,data_type,is_nullable,pk_ordinal,fk_target,unit,as_of_column,description,zero_null_rule,source_priority,transform_expression,implementation_status,deployment_status
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,22,dur,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",듀레이션,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,23,eval_price,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",평가일단가/Clean Price 성격,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,24,exg_close_price,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",장내 채권종가,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,25,exg_close_price_base_dt,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",장내 채권종가/종가수익률 기준일,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,26,exg_close_yield,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",장내 종가수익률,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,27,exrt_grte_ern_r,"numeric(20,12)",True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",만기보장수익률,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,28,exrt_grte_ern_r_tcd,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",만기보장수익률구분코드,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,29,exrt_rpy_r,"numeric(20,12)",True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",만기상환율,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,30,info_base_dt,text,False,3,,공식 문서 미표기,info_base_dt,판매/민평 공통 기준일,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,31,info_seq,bigint,False,4,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",동일 종목/시장/기준일 내 판매 LOT 구분 순번,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,32,isu_bal_amt,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",발행잔액/발행금액잔액,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,33,isu_dt,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",발행일자,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,34,mat_dt,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",상환일자(영구채는 1차 콜행사개시일),빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,35,ndy_applied_yield,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",익일 민평수익률/민평금리,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,36,ndy_cov,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",익일 컨벡시티,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,37,ndy_dirty,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",익일 이자부단가,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,38,ndy_dur,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",익일 듀레이션,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,39,ndy_eval_price,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",익일 평가일단가,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,40,pd_abrv_eng_nm,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",상품영문약어명,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,41,pd_abrv_nm,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",상품약어명,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,42,pd_ctry_cd,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",국가코드: 종목번호 앞 2자리(KR 등),빈 값=NULL; 0은 공식 코드/플래그 원문 보존; 의미 추측·임의 필터 금지,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,43,pd_eng_nm,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",상품영문명,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,44,pd_exg_mkt,text,False,2,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",거래구분,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,45,pd_nm,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",상품명/채권명,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,46,pd_no,text,False,1,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",상품번호/채권종목번호,빈 값=NULL; 0은 공식 코드/플래그 원문 보존; 의미 추측·임의 필터 금지,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,47,pd_pbcm,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",발행기관/발행자명,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,48,pd_pen_tr_yn,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",퇴직연금 편입 가능 여부,빈 값=NULL; 0은 공식 코드/플래그 원문 보존; 의미 추측·임의 필터 금지,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,49,pd_risk_gcd,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",상품위험등급 원문 코드,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,50,pd_risk_nm,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",상품위험등급명,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,51,pd_std_info_update,text,True,,,공식 문서 미표기,pd_std_info_update,민평정보 기준일/최근 업데이트 일자,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,52,pref_tax_yield,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",세금우대 세후 운용수익률,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,53,remaining_days,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",잔존일수,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,54,sale_yield_base_dt,text,True,,,공식 문서 미표기,sale_yield_base_dt,판매수익률 기준일,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,55,srfc_irt,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",표면이자율/쿠폰금리,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,56,std_pd_mcls_nm,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",상품중분류명,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,57,std_pd_scls_nm,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",상품소분류명,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,58,trade_price,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",매매단가(표준투입단가),빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,etf_kr_master,table,국내 ETF/ETN 상품,1,cu_base_index,text,True,,,공식 문서 미표기,"cu_upt_dt,du_upt_dt,wu_upt_dt,fn_base_dt,ref_base_dt",기초지수,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,etf_kr_master,table,국내 ETF/ETN 상품,2,cu_charge_etc_rt,text,True,,,공식 문서 미표기,"cu_upt_dt,du_upt_dt,wu_upt_dt,fn_base_dt,ref_base_dt",기타비용요율,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,etf_kr_master,table,국내 ETF/ETN 상품,3,cu_charge_rt,text,True,,,공식 문서 미표기,"cu_upt_dt,du_upt_dt,wu_upt_dt,fn_base_dt,ref_base_dt",총보수요율,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,etf_kr_master,table,국내 ETF/ETN 상품,4,cu_fund_mgmt_co,text,True,,,공식 문서 미표기,"cu_upt_dt,du_upt_dt,wu_upt_dt,fn_base_dt,ref_base_dt",운용사,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,etf_kr_master,table,국내 ETF/ETN 상품,5,cu_lev_fector,text,True,,,공식 문서 미표기,"cu_upt_dt,du_upt_dt,wu_upt_dt,fn_base_dt,ref_base_dt",배수,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,etf_kr_master,table,국내 ETF/ETN 상품,6,cu_strtegy,text,True,,,공식 문서 미표기,"cu_upt_dt,du_upt_dt,wu_upt_dt,fn_base_dt,ref_base_dt",운용전략,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,etf_kr_master,table,국내 ETF/ETN 상품,7,cu_upt_dt,text,True,,,공식 문서 미표기,cu_upt_dt,변동갱신일자,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,etf_kr_master,table,국내 ETF/ETN 상품,8,du_bpr,"numeric(28,2)",True,,,공식 문서 미표기,"cu_upt_dt,du_upt_dt,wu_upt_dt,fn_base_dt,ref_base_dt",기준가,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,etf_kr_master,table,국내 ETF/ETN 상품,9,du_chas_errt,"numeric(28,2)",True,,,공식 문서 미표기,"cu_upt_dt,du_upt_dt,wu_upt_dt,fn_base_dt,ref_base_dt",추적오차율,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,etf_kr_master,table,국내 ETF/ETN 상품,10,du_chas_errt_base_dt,text,True,,,공식 문서 미표기,"cu_upt_dt,du_upt_dt,wu_upt_dt,fn_base_dt,ref_base_dt",추적오차율 기준일,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,etf_kr_master,table,국내 ETF/ETN 상품,11,du_clpr,"numeric(28,2)",True,,,공식 문서 미표기,"cu_upt_dt,du_upt_dt,wu_upt_dt,fn_base_dt,ref_base_dt",종가,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,etf_kr_master,table,국내 ETF/ETN 상품,12,du_diff_rt,"numeric(28,2)",True,,,공식 문서 미표기,"cu_upt_dt,du_upt_dt,wu_upt_dt,fn_base_dt,ref_base_dt",괴리율,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,etf_kr_master,table,국내 ETF/ETN 상품,13,du_diff_rt_base_dt,text,True,,,공식 문서 미표기,"cu_upt_dt,du_upt_dt,wu_upt_dt,fn_base_dt,ref_base_dt",괴리율 기준일,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,etf_kr_master,table,국내 ETF/ETN 상품,14,du_er_1d,"numeric(28,2)",True,,,공식 문서 미표기,"cu_upt_dt,du_upt_dt,wu_upt_dt,fn_base_dt,ref_base_dt",수익률_1D,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,etf_kr_master,table,국내 ETF/ETN 상품,15,du_er_1m,"numeric(28,2)",True,,,공식 문서 미표기,"cu_upt_dt,du_upt_dt,wu_upt_dt,fn_base_dt,ref_base_dt",수익률_1M,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,etf_kr_master,table,국내 ETF/ETN 상품,16,du_er_1y,"numeric(28,2)",True,,,공식 문서 미표기,"cu_upt_dt,du_upt_dt,wu_upt_dt,fn_base_dt,ref_base_dt",수익률_1Y,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,etf_kr_master,table,국내 ETF/ETN 상품,17,du_er_3m,"numeric(28,2)",True,,,공식 문서 미표기,"cu_upt_dt,du_upt_dt,wu_upt_dt,fn_base_dt,ref_base_dt",수익률_3M,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
