store,schema,table,table_description,grain,source_file,row_count,column_order,column_name,column_description,data_type,nullable,primary_key,foreign_key,unit,as_of_basis,source_priority,transformation_rule,quality_rule,implementation_status
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,16,srfc_irt,표면금리,double precision,Y,N,,%,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,17,pd_evco_crd_grd,확인할 수 없음,text,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,18,pd_risk_gcd,확인할 수 없음,bigint,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,19,pd_std_info_update,기준정보갱신일,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,20,buy_yield,매수수익률,double precision,Y,N,,%,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,21,corp_pretax_yield,확인할 수 없음,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,22,corp_after_tax_yield,확인할 수 없음,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,23,after_tax_yield,세후수익률,double precision,Y,N,,%,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,24,pref_tax_yield,확인할 수 없음,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,25,avg_annual_tax_yield,확인할 수 없음,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,26,depo_equiv_yield_154,확인할 수 없음,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,27,buyable_quantity,매수가능수량,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,28,remaining_days,확인할 수 없음,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,29,dur,듀레이션,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,30,cov,확인할 수 없음,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,31,ndy_dur,확인할 수 없음,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,32,ndy_cov,확인할 수 없음,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,33,eval_price,확인할 수 없음,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,34,applied_yield,확인할 수 없음,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,35,dirty,확인할 수 없음,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,36,ndy_eval_price,확인할 수 없음,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,37,ndy_applied_yield,확인할 수 없음,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,38,ndy_dirty,확인할 수 없음,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,39,crd_grd,원신용등급,text,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,40,crd_grd_dt,확인할 수 없음,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,1,cu_base_index,기초지수,text,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,2,cu_charge_etc_rt,기타비용요율,text,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,3,cu_charge_rt,총보수요율,text,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,4,cu_fund_mgmt_co,운용사,text,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,5,cu_lev_fector,배수,text,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,6,cu_strtegy,운용전략,text,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,7,cu_upt_dt,변동갱신일자,text,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,8,du_bpr,기준가,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,9,du_chas_errt,추적오차율,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,10,du_clpr,종가,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,11,du_diff_rt,괴리율,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,12,du_er_1d,수익률_1D,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,13,du_er_1m,1개월 수익률,numeric,Y,N,,%,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,14,du_er_1y,수익률_1Y,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,15,du_er_3m,3개월 수익률,numeric,Y,N,,%,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,16,du_er_6m,6개월 수익률,numeric,Y,N,,%,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,17,du_er_ytd,수익률_YTD,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,18,du_hpr,고가,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,19,du_last_aum,최종AUM,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,20,du_last_nav,최종NAV,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,21,du_lpr,시가,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,22,du_nav_rnf_amt,전일NAV등락금액,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,23,du_nav_yday,전일NAV,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,24,du_upt_dt,데이터 기준일,timestamp without time zone,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,25,du_val_1d,일거래대금,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,26,du_val_1m,일거래대금평균_1M,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,27,du_val_5d,일거래대금평균_5D,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,28,du_vol_1d,일거래량,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,29,du_vol_avg_1m,거래량평균_1M,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,30,du_vol_avg_5d,거래량평균_5D,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,31,nru_mkt_diff_rt,괴리율,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,32,nru_mkt_inav,장중 iNAV,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,33,pd_abrv_nm,상품약어명,text,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,34,pd_circ_net_tamt,유통순자산총액,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,35,pd_circ_stk_cnt,유통주식수,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,36,pd_curr_cd,상품통화코드,text,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,37,pd_curr_nm,상품통화명,text,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,etf_kr_master,국내 ETF·ETN 원본 마스터,상품 1건/행,data/csv/PREF01N001_etf_kr_master_20260711.csv,1733,38,pd_divd_amt_pshr,주당 배당금,numeric,Y,N,,,2026-06-15,organizer,원본 CSV 무변경 적재,잘못된 pd_itm_no='KR' 1행 제외; ETF 질의는 pd_grp_no='ETF' 필수,빌더 구현; live DB 미확인
