pd_itm_no,pd_itm_no_ma,pd_grp_no,pd_abrv_nm,lseg_key,ter,replication,base_market,base_asset,hedge_type,charge_rt_final,charge_rt_source
KR70104H0000,A0104H0,ETF,KoAct 미국나스닥채권혼합50액티브,0104H0,0.25,실물(액티브),국내&해외,혼합자산,환노출,0.25,LSEG
KR70114X0008,A0114X0,ETF,RISE 글로벌게임테크TOP3Plus,0114X0,0.4,실물(패시브),해외,주식,환노출,0.4,LSEG
KR70117V0007,A0117V0,ETF,TIGER 코리아AI전력기기TOP3플러스,0117V0,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR70118Z0002,A0118Z0,ETF,ACE 미국AI테크핵심산업액티브,0118Z0,0.45,실물(액티브),해외,주식,환노출,0.45,LSEG
KR70120J0008,A0120J0,ETF,BNK 카카오그룹포커스,0120J0,0.395,실물(패시브),국내,주식,환노출,0.395,LSEG
KR70127P0003,A0127P0,ETF,ACE 미국대형성장주액티브,0127P0,0.3,실물(액티브),해외,주식,환노출,0.3,LSEG
KR70127V0005,A0127V0,ETF,KIWOOM 미국S&P500 TOP10&배당다우비중전환,0127V0,0.19,실물(패시브),해외,주식,환노출,0.19,LSEG
KRG580000468,Q580046,ETN,KB 블룸버그 인버스2X 천연가스선물 ETN(H),580046,,,,,,,
KR70132H0006,A0132H0,ETF,KODEX 미국원자력SMR,0132H0,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KR70137V0003,A0137V0,ETF,KIWOOM 미국S&P500모멘텀,0137V0,0.12,실물(패시브),해외,주식,환노출,0.12,LSEG
KR70138T0006,A0138T0,ETF,RISE 미국S&P500데일리고정커버드콜,0138T0,0.25,실물(패시브),해외,주식,환노출,0.25,LSEG
KR70138Y0009,A0138Y0,ETF,PLUS 금채권혼합,0138Y0,0.15,실물(패시브),국내&해외,혼합자산,환노출,0.15,LSEG
KR70153K0005,A0153K0,ETF,KODEX 주주환원고배당주,0153K0,0.33,실물(패시브),국내,주식,환노출,0.33,LSEG
KR70153X0000,A0153X0,ETF,PLUS 미국고배당주액티브,0153X0,0.23,실물(액티브),해외,주식,환노출,0.23,LSEG
KR70154F0001,A0154F0,ETF,WON 초대형IB&금융지주,0154F0,0.29,실물(패시브),국내,주식,환노출,0.29,LSEG
KRG520000974,Q520097,ETN,미래에셋 1.5X S&P500 VIX S/T선물 ETN,520097,,,,,,,
KR70155M0001,A0155M0,ETF,ACE 미국SMR원자력TOP10,0155M0,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KR70162M0002,A0162M0,ETF,KODEX 금융채1~2년(AA-이상)PLUS액티브,0162M0,0.09,실물(액티브),국내,채권,환노출,0.09,LSEG
KR70166N0007,A0166N0,ETF,PLUS 코스닥150액티브,0166N0,0.63,실물(액티브),국내,주식,환노출,0.63,LSEG
KR70173Y0005,A0173Y0,ETF,KODEX 미국AI광통신네트워크,0173Y0,0.55,실물(패시브),해외,주식,환노출,0.55,LSEG
KR70174J0003,A0174J0,ETF,DAISHIN 오피스리츠플러스,0174J0,0.19,실물(패시브),국내,부동산,환노출,0.19,LSEG
KR70176P0003,A0176P0,ETF,FOCUS AI반도체위클리고정커버드콜,0176P0,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR70177A0009,A0177A0,ETF,WON 두산그룹포커스,0177A0,0.33,실물(패시브),국내,주식,환노출,0.33,LSEG
KR70181B0002,A0181B0,ETF,HANARO 미국AI메모리반도체TOP4+,0181B0,,,,,,,
KR70181L0000,A0181L0,ETF,SOL 미국우주항공TOP10,0181L0,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KR70186L0005,A0186L0,ETF,KoAct 미국로봇피지컬AI액티브,0186L0,0.5,실물(액티브),해외,주식,환노출,0.5,LSEG
KR70191B0000,A0191B0,ETF,MIDAS 코스닥액티브,0191B0,,,,,,,
KR70191M0007,A0191M0,ETF,마이티 5월만기자동연장특수채(AAA)액티브,0191M0,,,,,,,
KR70191S0001,A0191S0,ETF,IBK 코스닥150,0191S0,,,,,,,
KR70192Z0001,A0192Z0,ETF,TIGER 중기종합채권(A-이상)액티브,0192Z0,,,,,,,
KR70193K0007,A0193K0,ETF,PLUS 삼성전자단일종목레버리지,0193K0,,,,,,,
KR70194N0003,A0194N0,ETF,KIWOOM 삼성전자선물단일종목레버리지,0194N0,,,,,,,
KR70194T0007,A0194T0,ETF,ACE SK하이닉스단일종목레버리지,0194T0,,,,,,,
KR70195R0008,A0195R0,ETF,TIGER 삼성전자단일종목레버리지,0195R0,,,,,,,
KR70206G0008,A0206G0,ETF,1Q 현대차기아채권혼합50,0206G0,,,,,,,
KR70209Z0002,A0209Z0,ETF,ACE 코리아AI전력TOP10,0209Z0,,,,,,,
KR70210E0004,A0210E0,ETF,PLUS 200커버드콜액티브,0210E0,,,,,,,
KR70214M0000,A0214M0,ETF,MIDAS 바이오헬스케어액티브,0214M0,,,,,,,
KR70215T0002,A0215T0,ETF,HANARO 미국AI광통신TOP10,0215T0,,,,,,,
KR70216K0000,A0216K0,ETF,KIWOOM 미국우주테크TOP2채권혼합50,0216K0,,,,,,,
KR70216Z0003,A0216Z0,ETF,ACE K방산TOP5+,0216Z0,,,,,,,
KR70219B0008,A0219B0,ETF,KoAct 광통신&위성네트워크액티브,0219B0,,,,,,,
KR70224D0009,A0224D0,ETF,KIWOOM 미국CPU반도체TOP4+,0224D0,,,,,,,
KR70224X0005,A0224X0,ETF,1Q 엔비디아알파벳미국채혼합50,0224X0,,,,,,,
KR7100910009,A100910,ETF,KIWOOM KRX100,100910,0.23,실물(패시브),국내,주식,환노출,0.23,LSEG
KR7102970001,A102970,ETF,KODEX 증권,102970,0.45,실물(패시브),국내,주식,환노출,0.49,RDB
KR7105010003,A105010,ETF,TIGER 라틴35,105010,0.49,실물(패시브),해외,주식,환노출,0.52,RDB
KR7114260003,A114260,ETF,KODEX 국고채3년,114260,0.15,실물(패시브),국내,채권,환노출,0.4,RDB
KR7114800006,A114800,ETF,KODEX 인버스,114800,0.64,실물(패시브),국내,주식,환노출,0.4,RDB
KR7117460006,A117460,ETF,KODEX 에너지화학,117460,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7117690008,A117690,ETF,TIGER 차이나항셍30,117690,0.4,실물(패시브),해외,주식,환노출,0.15,RDB
KR7136340007,A136340,ETF,RISE 중기우량회사채,136340,0.07,실물(패시브),국내,채권,환노출,0.52,RDB
KR7139270003,A139270,ETF,TIGER 200 금융,139270,0.4,실물(패시브),국내,주식,환노출,0.4,RDB
KR7139290001,A139290,ETF,TIGER 200 경기소비재,139290,0.4,실물(패시브),국내,주식,환노출,0.4,RDB
KR7139310007,A139310,ETF,TIGER 금속선물(H),139310,,,,,,,
KR7140710005,A140710,ETF,KODEX 운송,140710,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7143850006,A143850,ETF,TIGER 미국S&P500선물(H),143850,0.23,실물(패시브),해외,주식,환헤지,0.23,LSEG
KR7145670006,A145670,ETF,ACE 인버스,145670,0.15,실물(패시브),국내,주식,환노출,0.15,LSEG
KR7150460004,A150460,ETF,TIGER 중국소비테마,150460,0.5,실물(패시브),국내,주식,환노출,0.5,LSEG
KR7153270004,A153270,ETF,KIWOOM 코스피100,153270,0.195,실물(패시브),국내,주식,환노출,0.195,LSEG
KR7157500000,A157500,ETF,TIGER 증권,157500,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7161510003,A161510,ETF,PLUS 고배당주,161510,0.23,실물(패시브),국내,주식,환노출,0.49,RDB
KR7183700004,A183700,ETF,RISE 200채권혼합50,183700,0.2,실물(패시브),국내,혼합자산,환노출,0.2,RDB
KR7190620005,A190620,ETF,ACE 단기통안채,190620,0.07,실물(패시브),국내,채권,환노출,0.07,LSEG
KR7192090009,A192090,ETF,TIGER 차이나CSI300,192090,0.63,실물(패시브),해외,주식,환노출,0.63,LSEG
KR7195930003,A195930,ETF,TIGER 유로스탁스50(합성 H),195930,0.24,합성(패시브),해외,주식,환노출,0.24,LSEG
KR7195970009,A195970,ETF,PLUS 선진국MSCI(합성 H),195970,0.5,합성(패시브),해외,주식,환노출,0.49,RDB
KR7200030005,A200030,ETF,KODEX 미국S&P500산업재(합성),200030,0.25,합성(패시브),해외,주식,합성,0.49,RDB
KR7214980005,A214980,ETF,KODEX 단기채권PLUS,214980,0.15,실물(패시브),국내,채권,환노출,0.15,RDB
KR7219480001,A219480,ETF,KODEX 미국S&P500선물(H),219480,0.05,실물(패시브),해외,주식,환헤지,0.05,LSEG
KR7220130009,A220130,ETF,SOL 차이나강소기업CSI500(합성 H),220130,0.6,합성(패시브),해외,주식,환노출,0.6,LSEG
KRG610000421,Q610042,ETN,메리츠 블룸버그 인버스 2X WTI선물 ETN(H),610042,,,,,,,
KR7225040005,A225040,ETF,TIGER 미국S&P500레버리지(합성 H),225040,0.27,합성(패시브),해외,주식,환노출,0.27,LSEG
KR7225050004,A225050,ETF,TIGER 유로스탁스레버리지(합성 H),225050,0.58,합성(패시브),해외,주식,환노출,0.58,LSEG
KR7226490001,A226490,ETF,KODEX 코스피,226490,0.15,실물(패시브),국내,주식,환노출,0.4,RDB
KR7228800009,A228800,ETF,TIGER 여행레저,228800,0.5,실물(패시브),국내,주식,환노출,0.5,LSEG
KR7229720008,A229720,ETF,KODEX KTOP30,229720,0.25,실물(패시브),국내,주식,환노출,0.4,RDB
KR7233160001,A233160,ETF,TIGER 코스닥150 레버리지,233160,0.32,실물(패시브),국내,주식,환노출,0.32,LSEG
KR7238720007,A238720,ETF,ACE 일본Nikkei225(H),238720,0.3,실물(패시브),해외,주식,환헤지,0.3,LSEG
KRG502100511,Q500051,ETN,신한 인버스 2X S&P500 선물 ETN,500051,,,,,,,
KR7239660004,A239660,ETF,PLUS 우량회사채50,239660,0.135,실물(패시브),국내,채권,환노출,0.135,LSEG
KR7241390004,A241390,ETF,RISE V&S셀렉트밸류채권혼합,241390,0.23,실물(패시브),국내,혼합자산,환노출,0.23,LSEG
KR7243880002,A243880,ETF,TIGER 200IT레버리지,243880,0.63,실물(패시브),국내,주식,환노출,0.63,LSEG
KR7244620001,A244620,ETF,KODEX 모멘텀Plus,244620,0.3,실물(패시브),국내,주식,환노출,0.49,RDB
KR7244670006,A244670,ETF,KODEX 밸류Plus,244670,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7245340005,A245340,ETF,TIGER 미국다우존스30,245340,0.35,실물(패시브),해외,주식,환노출,0.35,LSEG
KR7251600003,A251600,ETF,PLUS 고배당주채권혼합,251600,0.2,실물(패시브),국내,혼합자산,환노출,0.49,RDB
KRG502400036,Q500003,ETN,신한 인버스 WTI원유 선물 ETN(H),500003,,,,,,,
KR7252650007,A252650,ETF,KODEX 200동일가중,252650,0.25,실물(패시브),국내,주식,환노출,0.25,LSEG
KR7253150007,A253150,ETF,PLUS 200선물레버리지,253150,0.06,실물(패시브),국내,주식,환노출,0.06,LSEG
KR7253230007,A253230,ETF,KIWOOM 200선물인버스2X,253230,0.46,실물(패시브),국내,주식,환노출,0.46,LSEG
KR7253290001,A253290,ETF,RISE 헬스케어채권혼합,253290,0.35,실물(패시브),국내,혼합자산,환노출,0.35,LSEG
KR7256440009,A256440,ETF,ACE MSCI인도네시아(합성),256440,0.7,합성(패시브),해외,주식,합성,0.7,LSEG
KR7256450008,A256450,ETF,PLUS 심천차이넥스트(합성),256450,0.5,합성(패시브),해외,주식,합성,0.5,LSEG
KR7261120000,A261120,ETF,TIGER 미국달러선물인버스2X,261120,0.05,실물(패시브),국내,통화,환노출,0.05,LSEG
KR7261140008,A261140,ETF,TIGER 우선주,261140,0.29,실물(패시브),국내,주식,환노출,0.29,LSEG
KR7261260004,A261260,ETF,KODEX 미국달러선물인버스2X,261260,0.45,실물(패시브),국내,통화,환노출,0.45,LSEG
KR7266390004,A266390,ETF,KODEX 경기소비재,266390,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7266410000,A266410,ETF,KODEX 필수소비재,266410,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7266550003,A266550,ETF,PLUS 중형주저변동50,266550,0.23,실물(패시브),국내,주식,환노출,0.23,LSEG
KR7269540001,A269540,ETF,PLUS 미국S&P500(H),269540,0.3,실물(패시브),해외,주식,환헤지,0.3,LSEG
KR7270800006,A270800,ETF,RISE KQ고배당,270800,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7270810005,A270810,ETF,RISE 코스닥150,270810,0.02,실물(패시브),국내,주식,환노출,0.02,LSEG
KR7272910001,A272910,ETF,ACE 중장기국공채액티브,272910,0.08,실물(액티브),국내,채권,환노출,0.08,RDB
KR7275300002,A275300,ETF,KODEX 우량주,275300,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7276970001,A276970,ETF,KODEX 미국S&P500배당귀족커버드콜(합성 H),276970,0.3,합성(패시브),해외,주식,환노출,0.3,LSEG
KR7278620000,A278620,ETF,PLUS 단기채권액티브,278620,0.07,실물(액티브),국내,채권,환노출,0.07,LSEG
KR7280920000,A280920,ETF,PLUS 주도업종,280920,0.23,실물(패시브),국내,주식,환노출,0.23,LSEG
KR7282000009,A282000,ETF,RISE 국고채3년선물인버스,282000,0.07,실물(패시브),국내,채권,환노출,0.07,LSEG
KR7287180004,A287180,ETF,PLUS 미국나스닥테크,287180,0.5,실물(패시브),해외,주식,환노출,0.5,LSEG
KR7289480006,A289480,ETF,TIGER 200커버드콜,289480,0.38,실물(패시브),국내,주식,환노출,0.38,LSEG
KRG502400044,Q500004,ETN,신한 브렌트원유 선물 ETN(H),500004,,,,,,,
KR7291130003,A291130,ETF,ACE MSCI멕시코(합성),291130,0.5,합성(패시브),해외,주식,합성,0.5,LSEG
KR70233A0001,A0233A0,ETF,ACE 삼성전자SK하이닉스플러스채권혼합50,0233A0,,,,,,,
KR70000D0009,A0000D0,ETF,TIGER 엔비디아미국채커버드콜밸런스(합성),0000D0,0.39,합성(패시브),해외,혼합자산,합성,0.39,LSEG
KR70000H0005,A0000H0,ETF,KODEX 인도Nifty미드캡100,0000H0,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KR70001P0004,A0001P0,ETF,마이티 바이오시밀러&CDMO액티브,0001P0,0.805,실물(액티브),국내,주식,환노출,0.805,LSEG
KR70001S0001,A0001S0,ETF,TIGER 26-04 회사채(A+이상)액티브,0001S0,,,,,,,
KR70004G0002,A0004G0,ETF,1Q 미국배당TOP30,0004G0,0.1,실물(패시브),해외,주식,환노출,0.1,LSEG
KR70008T0003,A0008T0,ETF,SOL 화장품TOP3플러스,0008T0,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR70015B0004,A0015B0,ETF,KoAct 미국나스닥성장기업액티브,0015B0,0.5,실물(액티브),해외,주식,환노출,0.5,LSEG
KR70018Z0003,A0018Z0,ETF,RISE 미국양자컴퓨팅,0018Z0,0.4,실물(패시브),해외,주식,환노출,0.4,LSEG
KR70021C0005,A0021C0,ETF,ACE TDF장기자산배분액티브,0021C0,0.4,실물(액티브),국내&해외,혼합자산,환노출,0.4,LSEG
KR70040S0004,A0040S0,ETF,HANARO 글로벌피지컬AI액티브,0040S0,0.6,실물(액티브),해외,주식,환노출,0.6,LSEG
KR70040X0007,A0040X0,ETF,SOL 팔란티어미국채커버드콜혼합,0040X0,0.35,실물(패시브),해외,혼합자산,환노출,0.35,LSEG
KR70041D0000,A0041D0,ETF,KODEX 미국AI소프트웨어TOP10,0041D0,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KR70043B0000,A0043B0,ETF,TIGER 머니마켓액티브,0043B0,0.04,실물(액티브),국내,채권,환노출,0.04,LSEG
KRG502400192,Q500019,ETN,신한 레버리지 WTI원유 선물 ETN(H),500019,,,,,,,
KR70046A0008,A0046A0,ETF,TIGER 미국초단기(3개월이하)국채,0046A0,0.09,실물(패시브),해외,채권,환노출,0.09,LSEG
KR70046Y0000,A0046Y0,ETF,ACE 미국배당퀄리티,0046Y0,0.15,실물(패시브),해외,주식,환노출,0.15,LSEG
KR70047P0000,A0047P0,ETF,RISE 테슬라고정테크100,0047P0,0.2,실물(패시브),해외,주식,환노출,0.2,LSEG
KR70047R0008,A0047R0,ETF,RISE 팔란티어고정테크100,0047R0,0.2,실물(패시브),해외,주식,환노출,0.2,LSEG
KR70048K0004,A0048K0,ETF,KODEX 차이나휴머노이드로봇,0048K0,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KR70050E0007,A0050E0,ETF,PLUS 미국AI에이전트,0050E0,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KR70053M0004,A0053M0,ETF,더제이 중소형포커스액티브,0053M0,0.685,실물(액티브),국내,주식,환노출,0.685,LSEG
KRG502400275,Q500027,ETN,신한 인버스 2X WTI원유 선물 ETN(H),500027,,,,,,,
KR70057H0007,A0057H0,ETF,PLUS 미국S&P500미국채혼합50액티브,0057H0,0.15,실물(액티브),해외,혼합자산,환노출,0.15,LSEG
KR70067V0007,A0067V0,ETF,TIGER 차이나글로벌리더스TOP3+,0067V0,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR70067Y0004,A0067Y0,ETF,TIGER 차이나AI소프트웨어,0067Y0,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR70069M0006,A0069M0,ETF,1Q 미국나스닥100,0069M0,0.005,실물(패시브),해외,주식,환노출,0.005,LSEG
KR70085N0005,A0085N0,ETF,ACE 미국10년국채액티브(H),0085N0,0.15,실물(액티브),해외,채권,환헤지,0.15,LSEG
KR70085P0003,A0085P0,ETF,ACE 미국10년국채액티브,0085P0,0.15,실물(액티브),해외,채권,환노출,0.15,LSEG
KR70086B0008,A0086B0,ETF,TIGER 리츠부동산인프라TOP10액티브,0086B0,0.06,실물(액티브),국내,부동산,환노출,0.06,LSEG
KR70087F0003,A0087F0,ETF,ACE 차이나AI빅테크TOP2+액티브,0087F0,0.45,실물(액티브),해외,주식,환노출,0.45,LSEG
KR70089B0005,A0089B0,ETF,PLUS 미국나스닥100미국채혼합50,0089B0,0.15,실물(패시브),해외,혼합자산,환노출,0.15,LSEG
KR70089D0003,A0089D0,ETF,KODEX 금융고배당TOP10,0089D0,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR70091C0000,A0091C0,ETF,KODEX 미국10년국채액티브(H),0091C0,0.15,실물(액티브),해외,채권,환헤지,0.15,LSEG
KR70091M0008,A0091M0,ETF,HANARO 27-06 회사채(AA-이상)액티브,0091M0,0.02,실물(액티브),국내,채권,환노출,0.02,LSEG
KR70093B0009,A0093B0,ETF,RISE 엔비디아고정테크100,0093B0,0.2,실물(패시브),해외,주식,환노출,0.2,LSEG
KR70093D0007,A0093D0,ETF,KoAct 팔란티어밸류체인액티브,0093D0,0.5,실물(액티브),국내&해외,주식,환노출,0.5,LSEG
KRG610000447,Q610044,ETN,메리츠 인버스 천연가스 선물 ETN(H),610044,,,,,,,
KR70099L0001,A0099L0,ETF,ACE 우량회사채(AA-이상)액티브,0099L0,0.095,실물(액티브),국내,채권,환노출,0.095,LSEG
KR70112X0000,A0112X0,ETF,마이티 200TR,0112X0,0.05,실물(패시브),국내,주식,환노출,0.05,LSEG
KR70113D0003,A0113D0,ETF,TIME 글로벌탑픽액티브,0113D0,0.06,실물(액티브),해외,주식,환노출,0.06,LSEG
KR70113P0009,A0113P0,ETF,HK 머니마켓액티브,0113P0,0.045,실물(액티브),국내,채권,환노출,0.045,LSEG
KR70115E0000,A0115E0,ETF,KODEX 코리아소버린AI,0115E0,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR70118S0001,A0118S0,ETF,SOL 미국넥스트테크TOP10액티브,0118S0,0.55,실물(액티브),해외,주식,환노출,0.55,LSEG
KR70119H0003,A0119H0,ETF,KODEX 28-12 회사채(AA-이상)액티브,0119H0,0.09,실물(액티브),국내,채권,환노출,0.09,LSEG
KR70163Y0007,A0163Y0,ETF,KoAct 코스닥액티브,0163Y0,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KR70123G0008,A0123G0,ETF,TIGER 미국AI전력SMR,0123G0,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR70127T0009,A0127T0,ETF,KIWOOM 미국S&P500&배당다우존스비중전환,0127T0,0.09,실물(패시브),해외,주식,환노출,0.09,LSEG
KR70131A0004,A0131A0,ETF,SOL 차이나소비트렌드,0131A0,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KR70131V0009,A0131V0,ETF,1Q 미국우주항공테크,0131V0,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR70132D0000,A0132D0,ETF,KoAct 글로벌K컬처밸류체인액티브,0132D0,0.5,실물(액티브),국내&해외,주식,환노출,0.5,LSEG
KR70153P0000,A0153P0,ETF,ACE 리츠부동산인프라액티브,0153P0,0.06,실물(액티브),국내,부동산,환노출,0.06,LSEG
KR70162Z0007,A0162Z0,ETF,RISE 삼성전자SK하이닉스채권혼합50,0162Z0,0.01,실물(패시브),국내,혼합자산,환노출,0.01,LSEG
KRG760000254,Q760025,ETN,키움 전력 TOP5 ETN,760025,,,,,,,
KR70166T0001,A0166T0,ETF,PLUS 글로벌저작권핵심기업액티브,0166T0,0.45,실물(액티브),해외,주식,환노출,0.45,LSEG
KR70167B0000,A0167B0,ETF,SOL 200타겟위클리커버드콜,0167B0,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR70167Z0002,A0167Z0,ETF,KODEX 미국우주항공,0167Z0,0.55,실물(패시브),해외,주식,환노출,0.55,LSEG
KR70174B0001,A0174B0,ETF,KoAct 글로벌AI메모리반도체액티브,0174B0,0.5,실물(액티브),국내&해외,주식,환노출,0.5,LSEG
KR70174R0003,A0174R0,ETF,KIWOOM 미국성장다우존스,0174R0,0.03,실물(패시브),해외,주식,환노출,0.03,LSEG
KR70176E0006,A0176E0,ETF,RISE 미국AI전력인프라액티브,0176E0,0.45,실물(액티브),해외,주식,환노출,0.45,LSEG
KR70177N0004,A0177N0,ETF,KODEX 삼성전자SK하이닉스채권혼합50,0177N0,0.07,실물(패시브),국내,혼합자산,환노출,0.07,LSEG
KR7098560006,A098560,ETF,TIGER 방송통신,098560,,,,,,,
KR70182S0002,A0182S0,ETF,1Q K반도체TOP2채권혼합50,0182S0,0.01,실물(패시브),국내,혼합자산,환노출,0.01,LSEG
KR70183J0002,A0183J0,ETF,TIGER 미국우주테크,0183J0,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR70184V0005,A0184V0,ETF,UNICORN K바이오액티브,0184V0,,,,,,,
KR70186S0008,A0186S0,ETF,1Q 코스닥150채권혼합50액티브,0186S0,0.63,실물(액티브),국내,혼합자산,환노출,0.63,LSEG
KR70190C0000,A0190C0,ETF,RISE 현대차고정피지컬AI,0190C0,,,,,,,
KR70190Y0004,A0190Y0,ETF,TIGER 구글밸류체인,0190Y0,,,,,,,
KR70192M0006,A0192M0,ETF,RISE 삼성전자단일종목레버리지,0192M0,,,,,,,
KR70192T0009,A0192T0,ETF,SOL 코스닥TOP10,0192T0,,,,,,,
KR70193L0006,A0193L0,ETF,PLUS 삼성전자선물단일종목인버스2X,0193L0,,,,,,,
KR70193T0008,A0193T0,ETF,KODEX SK하이닉스단일종목레버리지,0193T0,,,,,,,
KR70198B0003,A0198B0,ETF,1Q 삼성전자선물단일종목레버리지,0198B0,,,,,,,
KR70199C0001,A0199C0,ETF,ACE 고배당주Plus커버드콜액티브,0199C0,,,,,,,
KR70203S0007,A0203S0,ETF,WON 삼성전자현대차채권혼합50,0203S0,,,,,,,
KR70207Z0004,A0207Z0,ETF,KIWOOM 미국우주데이터센터인프라,0207Z0,,,,,,,
KR70208N0007,A0208N0,ETF,IBK 코스피액티브,0208N0,,,,,,,
KR70210A0008,A0210A0,ETF,ACE K반도체TOP2+,0210A0,,,,,,,
KR70218J0001,A0218J0,ETF,RISE 미국우주&로봇TOP2미국채혼합50,0218J0,,,,,,,
KR70218K0008,A0218K0,ETF,BNK 스마트카,0218K0,,,,,,,
KR70220A0006,A0220A0,ETF,KIWOOM 현대차그룹TOP3채권혼합50,0220A0,,,,,,,
KR70220B0005,A0220B0,ETF,DS 코스닥액티브,0220B0,,,,,,,
KR70228G0002,A0228G0,ETF,ACE 반도체Plus전략산업,0228G0,,,,,,,
KR7069660009,A069660,ETF,KIWOOM 200,069660,0.05,실물(패시브),국내,주식,환노출,0.05,LSEG
