pd_no,pd_exg_mkt,info_seq,crd_grd_norm,crd_grd_rank,crd_grd_source,remaining_days,maturity_bucket,is_krw,has_sale_info,is_sellable,source
KR2006024C12,장외,1,,,,163,1년미만,Y,N,Y,derived:PRBD01N001
XS3067881758,장외,1,AAA,1,crd_grd,,미상,N,N,,derived:PRBD01N001
KR6350751G31,장외,1,BBB+,8,crd_grd,563,1-3년,Y,N,Y,derived:PRBD01N001
KR60106S4F98,장외,1,C,19,crd_grd,862,1-3년,Y,N,Y,derived:PRBD01N001
KR6421662C32,장외,1,,,,1218,3-5년,Y,N,Y,derived:PRBD01N001
KR6016362F71,장내,1,AA+,2,crd_grd,1434,3-5년,Y,N,Y,derived:PRBD01N001
KR2005032EB7,장외,1,,,,1197,3-5년,Y,N,Y,derived:PRBD01N001
KR6010131F90,장외,1,AA,3,crd_grd,397,1-3년,Y,N,Y,derived:PRBD01N001
KR6465695D88,장외,1,AAA,1,crd_grd,10,1년미만,Y,N,Y,derived:PRBD01N001
KRC035FP4597,장외,1,,,,6960,10년이상,Y,N,Y,derived:PRBD01N001
KR6420593EA8,장내,1,A,6,crd_grd,427,1-3년,Y,N,Y,derived:PRBD01N001
KR6102461EA3,장외,1,,,,1161,3-5년,Y,N,Y,derived:PRBD01N001
KR6497771F86,장외,1,AAA,1,crd_grd,179,1년미만,Y,N,Y,derived:PRBD01N001
KR6459394D51,장외,1,C,19,crd_grd,10,1년미만,Y,N,Y,derived:PRBD01N001
KR6453781G52,장내,1,A,6,crd_grd,447,1-3년,Y,N,Y,derived:PRBD01N001
KR2001024984,장외,1,,,,10,1년미만,Y,N,Y,derived:PRBD01N001
KR6089981G52,장외,1,,,,1720,3-5년,Y,N,Y,derived:PRBD01N001
KR6499475F16,장외,1,AAA,1,crd_grd,246,1년미만,Y,N,Y,derived:PRBD01N001
KR60185C2G63,장외,1,AA,3,crd_grd,1949,5-10년,Y,N,Y,derived:PRBD01N001
KR60031D3F34,장외,1,C,19,crd_grd,677,1-3년,Y,N,Y,derived:PRBD01N001
KR350101GG89,장외,1,AAA,1,crd_grd,986,1-3년,Y,N,Y,derived:PRBD01N001
KR6108672C58,장외,1,A+,5,crd_grd,282,1년미만,Y,N,Y,derived:PRBD01N001
KR350706GEB3,장내,1,AAA,1,crd_grd,462,1-3년,Y,N,Y,derived:PRBD01N001
KR350101GF23,장내,1,AAA,1,crd_grd,169,1년미만,Y,N,Y,derived:PRBD01N001
KR350103GB90,장내,1,AAA,1,crd_grd,19,1년미만,Y,N,Y,derived:PRBD01N001
KR350103GC81,장내,1,AAA,1,crd_grd,346,1년미만,Y,N,Y,derived:PRBD01N001
KR350103GG53,장내,1,AAA,1,crd_grd,1720,3-5년,Y,N,Y,derived:PRBD01N001
KR350104GF12,장내,1,AAA,1,crd_grd,146,1년미만,Y,N,Y,derived:PRBD01N001
KR350105G3B1,장내,1,AAA,1,crd_grd,828,1-3년,Y,N,Y,derived:PRBD01N001
KR350105GG77,장내,1,AAA,1,crd_grd,986,1-3년,Y,N,Y,derived:PRBD01N001
KR350106GBC0,장내,1,AAA,1,crd_grd,1936,5-10년,Y,N,Y,derived:PRBD01N001
KR350107GC12,장내,1,AAA,1,crd_grd,144,1년미만,Y,N,Y,derived:PRBD01N001
KR350107GC38,장내,1,AAA,1,crd_grd,198,1년미만,Y,N,Y,derived:PRBD01N001
KR350109GC44,장내,1,AAA,1,crd_grd,229,1년미만,Y,N,Y,derived:PRBD01N001
KR350109GEA2,장내,1,AAA,1,crd_grd,1161,3-5년,Y,N,Y,derived:PRBD01N001
KR2077012F89,장내,1,,,,1471,3-5년,Y,N,Y,derived:PRBD01N001
KR101501DD96,장내,1,,,,771,1-3년,Y,N,Y,derived:PRBD01N001
KR101701D6B2,장내,1,,,,101,1년미만,Y,N,Y,derived:PRBD01N001
KR101701D849,장내,1,,,,618,1-3년,Y,N,Y,derived:PRBD01N001
KR101701D948,장내,1,,,,983,1-3년,Y,N,Y,derived:PRBD01N001
KR101701DA14,장내,1,,,,1259,3-5년,Y,N,Y,derived:PRBD01N001
KR102701GG62,장내,1,,,,293,1년미만,Y,N,Y,derived:PRBD01N001
KR2001024D20,장내,1,,,,1287,3-5년,Y,N,Y,derived:PRBD01N001
KR2001024G76,장내,1,,,,2536,5-10년,Y,N,Y,derived:PRBD01N001
KR2001294A59,장내,1,,,,283,1년미만,Y,N,Y,derived:PRBD01N001
KR2002012DB4,장내,1,,,,832,1-3년,Y,N,Y,derived:PRBD01N001
KR2002022G68,장내,1,,,,1774,3-5년,Y,N,Y,derived:PRBD01N001
KR2004022F81,장내,1,,,,1471,3-5년,Y,N,Y,derived:PRBD01N001
KR2005011490,장내,1,,,,1130,3-5년,Y,N,Y,derived:PRBD01N001
KR2005011E66,장내,1,,,,287,1년미만,Y,N,Y,derived:PRBD01N001
KR2005022DB0,장내,1,,,,832,1-3년,Y,N,Y,derived:PRBD01N001
KR2005022E22,장내,1,,,,922,1-3년,Y,N,Y,derived:PRBD01N001
KR2005022F88,장내,1,,,,1471,3-5년,Y,N,Y,derived:PRBD01N001
KR2005052E90,장내,1,,,,1136,3-5년,Y,N,Y,derived:PRBD01N001
KR2006011F71,장내,1,,,,1426,3-5년,Y,N,Y,derived:PRBD01N001
KR2006014G36,장내,1,,,,1683,3-5년,Y,N,Y,derived:PRBD01N001
KR2006022D62,장내,1,,,,679,1-3년,Y,N,Y,derived:PRBD01N001
KR2006024D52,장내,1,,,,649,1-3년,Y,N,Y,derived:PRBD01N001
KR2007012C30,장내,1,,,,222,1년미만,Y,N,Y,derived:PRBD01N001
KR2008012BC0,장내,1,,,,132,1년미만,Y,N,Y,derived:PRBD01N001
KR2008012C87,장내,1,,,,375,1-3년,Y,N,Y,derived:PRBD01N001
KR2008012D60,장내,1,,,,679,1-3년,Y,N,Y,derived:PRBD01N001
KR2008012F92,장내,1,,,,1501,3-5년,Y,N,Y,derived:PRBD01N001
KR2022022BA5,장내,1,,,,71,1년미만,Y,N,Y,derived:PRBD01N001
KR2022022CB1,장내,1,,,,466,1-3년,Y,N,Y,derived:PRBD01N001
KR2022022F67,장내,1,,,,1409,3-5년,Y,N,Y,derived:PRBD01N001
KR2033022DC4,장내,1,,,,863,1-3년,Y,N,Y,derived:PRBD01N001
KR2044022D55,장내,1,,,,649,1-3년,Y,N,Y,derived:PRBD01N001
KR2044022DB3,장내,1,,,,832,1-3년,Y,N,Y,derived:PRBD01N001
KR2044022F20,장내,1,,,,1287,3-5년,Y,N,Y,derived:PRBD01N001
KR2044022G60,장내,1,,,,1774,3-5년,Y,N,Y,derived:PRBD01N001
KR2055022DC7,장내,1,,,,863,1-3년,Y,N,Y,derived:PRBD01N001
KR2066022C26,장내,1,,,,191,1년미만,Y,N,Y,derived:PRBD01N001
KR2066022C34,장내,1,,,,222,1년미만,Y,N,Y,derived:PRBD01N001
KR2066022D58,장내,1,,,,649,1-3년,Y,N,Y,derived:PRBD01N001
KR2077022DC1,장내,1,,,,863,1-3년,Y,N,Y,derived:PRBD01N001
KR2088022CB2,장내,1,,,,466,1-3년,Y,N,Y,derived:PRBD01N001
KR2088022D78,장내,1,,,,710,1-3년,Y,N,Y,derived:PRBD01N001
KR2088022E36,장내,1,,,,953,1-3년,Y,N,Y,derived:PRBD01N001
KR2088022EA0,장내,1,,,,1167,3-5년,Y,N,Y,derived:PRBD01N001
KR2088022EC6,장내,1,,,,1228,3-5년,Y,N,Y,derived:PRBD01N001
KR2088022G18,장내,1,,,,1624,3-5년,Y,N,Y,derived:PRBD01N001
KR2099012B95,장내,1,,,,40,1년미만,Y,N,Y,derived:PRBD01N001
KR2099012F91,장내,1,,,,1501,3-5년,Y,N,Y,derived:PRBD01N001
KR2099022D42,장내,1,,,,618,1-3년,Y,N,Y,derived:PRBD01N001
KR2100012DB5,장내,1,,,,832,1-3년,Y,N,Y,derived:PRBD01N001
KR2101012CB6,장내,1,,,,466,1-3년,Y,N,Y,derived:PRBD01N001
KR2101012E54,장내,1,,,,1014,1-3년,Y,N,Y,derived:PRBD01N001
KR2103011FC7,장내,1,,,,837,1-3년,Y,N,Y,derived:PRBD01N001
KR310101GF19,장내,1,,,,134,1년미만,Y,N,Y,derived:PRBD01N001
KR310101GF76,장내,1,,,,315,1년미만,Y,N,Y,derived:PRBD01N001
KR310202AFA4,장내,1,AAA,1,crd_grd,69,1년미만,Y,N,Y,derived:PRBD01N001
KR310203GF57,장내,1,AAA,1,crd_grd,449,1-3년,Y,N,Y,derived:PRBD01N001
KR310204DBA3,장내,1,AAA,1,crd_grd,9192,10년이상,Y,N,Y,derived:PRBD01N001
KR310204GF98,장내,1,AAA,1,crd_grd,14,1년미만,Y,N,Y,derived:PRBD01N001
KR3102054T61,장내,1,AAA,1,crd_grd,287,1년미만,Y,N,Y,derived:PRBD01N001
KR310205GF48,장내,1,AAA,1,crd_grd,246,1년미만,Y,N,Y,derived:PRBD01N001
KR310206GD98,장내,1,AAA,1,crd_grd,18,1년미만,Y,N,Y,derived:PRBD01N001
KR310207GEC9,장내,1,AAA,1,crd_grd,113,1년미만,Y,N,Y,derived:PRBD01N001
KR310208GG69,장내,1,AAA,1,crd_grd,660,1-3년,Y,N,Y,derived:PRBD01N001
KR310209GC54,장내,1,AAA,1,crd_grd,270,1년미만,Y,N,Y,derived:PRBD01N001
KR310209GG76,장내,1,AAA,1,crd_grd,335,1년미만,Y,N,Y,derived:PRBD01N001
KR310210GD84,장내,1,AAA,1,crd_grd,1,1년미만,Y,N,Y,derived:PRBD01N001
KR310210GG16,장내,1,AAA,1,crd_grd,882,1-3년,Y,N,Y,derived:PRBD01N001
KR310212GF15,장내,1,AAA,1,crd_grd,520,1-3년,Y,N,Y,derived:PRBD01N001
KR310214GC99,장내,1,AAA,1,crd_grd,398,1-3년,Y,N,Y,derived:PRBD01N001
KR356001G625,장내,1,,,,1626,3-5년,Y,N,Y,derived:PRBD01N001
KR310217G9B7,장내,1,AA+,2,crd_grd,1192,3-5년,Y,N,Y,derived:PRBD01N001
KR310501AG51,장내,1,AAA,1,crd_grd,229,1년미만,Y,N,Y,derived:PRBD01N001
KR310501AG69,장내,1,AAA,1,crd_grd,193,1년미만,Y,N,Y,derived:PRBD01N001
KR310502J6A6,장내,1,AAA,1,crd_grd,3703,10년이상,Y,N,Y,derived:PRBD01N001
KR310503AG42,장내,1,AAA,1,crd_grd,225,1년미만,Y,N,Y,derived:PRBD01N001
KR310503GG53,장내,1,AAA,1,crd_grd,259,1년미만,Y,N,Y,derived:PRBD01N001
KR310505GF78,장내,1,AAA,1,crd_grd,696,1-3년,Y,N,Y,derived:PRBD01N001
KR310505GG10,장내,1,AAA,1,crd_grd,327,1년미만,Y,N,Y,derived:PRBD01N001
KR310507GG59,장내,1,AAA,1,crd_grd,448,1-3년,Y,N,Y,derived:PRBD01N001
KR310510GEB8,장내,1,AAA,1,crd_grd,448,1-3년,Y,N,Y,derived:PRBD01N001
KR310513GF78,장내,1,AAA,1,crd_grd,157,1년미만,Y,N,Y,derived:PRBD01N001
KR6034022E93,장외,1,A-,7,crd_grd,385,1-3년,Y,N,Y,derived:PRBD01N001
KR310513GG69,장내,1,AAA,1,crd_grd,124,1년미만,Y,N,Y,derived:PRBD01N001
KR350101G9C0,장내,1,AAA,1,crd_grd,105,1년미만,Y,N,Y,derived:PRBD01N001
KR350101GA36,장내,1,AAA,1,crd_grd,1291,3-5년,Y,N,Y,derived:PRBD01N001
KR350102GC17,장내,1,AAA,1,crd_grd,136,1년미만,Y,N,Y,derived:PRBD01N001
KR350102GG47,장내,1,AAA,1,crd_grd,955,1-3년,Y,N,Y,derived:PRBD01N001
KR350103GF39,장내,1,AAA,1,crd_grd,1293,3-5년,Y,N,Y,derived:PRBD01N001
KR350104GEB1,장내,1,AAA,1,crd_grd,448,1-3년,Y,N,Y,derived:PRBD01N001
KR350104GF46,장내,1,AAA,1,crd_grd,231,1년미만,Y,N,Y,derived:PRBD01N001
KR350106GB89,장내,1,AAA,1,crd_grd,1817,3-5년,Y,N,Y,derived:PRBD01N001
KR350106GC13,장내,1,AAA,1,crd_grd,873,1-3년,Y,N,Y,derived:PRBD01N001
KR350106GF36,장내,1,AAA,1,crd_grd,1299,3-5년,Y,N,Y,derived:PRBD01N001
KR350107GEC2,장내,1,AAA,1,crd_grd,118,1년미만,Y,N,Y,derived:PRBD01N001
KR350109GC77,장내,1,AAA,1,crd_grd,325,1년미만,Y,N,Y,derived:PRBD01N001
KR350112GC56,장내,1,AAA,1,crd_grd,270,1년미만,Y,N,Y,derived:PRBD01N001
KR350201GG62,장내,1,AAA,1,crd_grd,1031,1-3년,Y,N,Y,derived:PRBD01N001
KR350701G832,장내,1,AAA,1,crd_grd,4218,10년이상,Y,N,Y,derived:PRBD01N001
KR350701GB96,장내,1,AAA,1,crd_grd,9150,10년이상,Y,N,Y,derived:PRBD01N001
KR350702GC52,장내,1,AAA,1,crd_grd,5751,10년이상,Y,N,Y,derived:PRBD01N001
KR350702GC94,장내,1,AAA,1,crd_grd,5870,10년이상,Y,N,Y,derived:PRBD01N001
KR350702GG25,장내,1,AAA,1,crd_grd,1627,3-5년,Y,N,Y,derived:PRBD01N001
KR350703GB37,장내,1,AAA,1,crd_grd,1670,3-5년,Y,N,Y,derived:PRBD01N001
KR350703GC77,장내,1,AAA,1,crd_grd,9474,10년이상,Y,N,Y,derived:PRBD01N001
KR350703GG65,장내,1,AAA,1,crd_grd,10902,10년이상,Y,N,Y,derived:PRBD01N001
KR350704GB77,장내,1,AAA,1,crd_grd,5450,10년이상,Y,N,Y,derived:PRBD01N001
KR350705GC34,장내,1,AAA,1,crd_grd,5694,10년이상,Y,N,Y,derived:PRBD01N001
KR356003G530,장내,1,,,,1303,3-5년,Y,N,Y,derived:PRBD01N001
KR350706GF22,장내,1,AAA,1,crd_grd,553,1-3년,Y,N,Y,derived:PRBD01N001
KR350706GFA2,장내,1,AAA,1,crd_grd,10647,10년이상,Y,N,Y,derived:PRBD01N001
KR350801G392,장내,1,AAA,1,crd_grd,379,1-3년,Y,N,Y,derived:PRBD01N001
KR350801GC37,장내,1,AAA,1,crd_grd,209,1년미만,Y,N,Y,derived:PRBD01N001
KR350801GE76,장내,1,AAA,1,crd_grd,330,1년미만,Y,N,Y,derived:PRBD01N001
KR350801GEA4,장내,1,AAA,1,crd_grd,420,1-3년,Y,N,Y,derived:PRBD01N001
KR350804GEB6,장내,1,AAA,1,crd_grd,1180,3-5년,Y,N,Y,derived:PRBD01N001
KR350804GFA5,장내,1,AAA,1,crd_grd,800,1-3년,Y,N,Y,derived:PRBD01N001
KR3509037262,장내,1,AAA,1,crd_grd,301,1년미만,Y,N,Y,derived:PRBD01N001
KR350903D7B9,장내,1,AAA,1,crd_grd,4098,10년이상,Y,N,Y,derived:PRBD01N001
KR351603GF32,장내,1,AAA,1,crd_grd,570,1-3년,Y,N,Y,derived:PRBD01N001
KR351604GE32,장내,1,AAA,1,crd_grd,945,1-3년,Y,N,Y,derived:PRBD01N001
KR351605GE23,장내,1,AAA,1,crd_grd,182,1년미만,Y,N,Y,derived:PRBD01N001
KR351606GF88,장내,1,AAA,1,crd_grd,735,1-3년,Y,N,Y,derived:PRBD01N001
KR352202GB96,장내,1,AAA,1,crd_grd,1839,5-10년,Y,N,Y,derived:PRBD01N001
KR352203GF42,장내,1,AAA,1,crd_grd,1346,3-5년,Y,N,Y,derived:PRBD01N001
KR352302G829,장내,1,AAA,1,crd_grd,4186,10년이상,Y,N,Y,derived:PRBD01N001
KR352302GA88,장내,1,AAA,1,crd_grd,5114,10년이상,Y,N,Y,derived:PRBD01N001
KR352302GF42,장내,1,AAA,1,crd_grd,3161,5-10년,Y,N,Y,derived:PRBD01N001
KR352501GG24,장내,1,AAA,1,crd_grd,903,1-3년,Y,N,Y,derived:PRBD01N001
KR352701G764,장내,1,AAA,1,crd_grd,284,1년미만,Y,N,Y,derived:PRBD01N001
KR352701GBA0,장내,1,AAA,1,crd_grd,9179,10년이상,Y,N,Y,derived:PRBD01N001
KR352702G762,장내,1,AAA,1,crd_grd,7596,10년이상,Y,N,Y,derived:PRBD01N001
KR352702GA43,장내,1,AAA,1,crd_grd,8646,10년이상,Y,N,Y,derived:PRBD01N001
KR352702GE56,장내,1,AAA,1,crd_grd,1012,1-3년,Y,N,Y,derived:PRBD01N001
KR35270472B8,장내,1,AAA,1,crd_grd,2293,5-10년,Y,N,Y,derived:PRBD01N001
KR353401GG72,장내,1,AA+,2,crd_grd,1067,1-3년,Y,N,Y,derived:PRBD01N001
KR353601DD92,장내,1,AAA,1,crd_grd,40,1년미만,Y,N,Y,derived:PRBD01N001
KR353601DE67,장내,1,AAA,1,crd_grd,1044,1-3년,Y,N,Y,derived:PRBD01N001
KR353601DFA9,장내,1,AAA,1,crd_grd,802,1-3년,Y,N,Y,derived:PRBD01N001
KR353601GG70,장내,1,AAA,1,crd_grd,956,1-3년,Y,N,Y,derived:PRBD01N001
KR353602DFA7,장내,1,AAA,1,crd_grd,802,1-3년,Y,N,Y,derived:PRBD01N001
KR353602GG53,장내,1,AAA,1,crd_grd,998,1-3년,Y,N,Y,derived:PRBD01N001
KR354201GEA3,장내,1,AAA,1,crd_grd,1161,3-5년,Y,N,Y,derived:PRBD01N001
KR354202G670,장내,1,AAA,1,crd_grd,1787,3-5년,Y,N,Y,derived:PRBD01N001
KR354202GEB9,장내,1,AAA,1,crd_grd,1917,5-10년,Y,N,Y,derived:PRBD01N001
KR354202GFA8,장내,1,AAA,1,crd_grd,1521,3-5년,Y,N,Y,derived:PRBD01N001
KR354202GFB6,장내,1,AAA,1,crd_grd,2274,5-10년,Y,N,Y,derived:PRBD01N001
KR354206GE79,장내,1,AAA,1,crd_grd,1792,3-5년,Y,N,Y,derived:PRBD01N001
KR354301GG22,장내,1,AA+,2,crd_grd,188,1년미만,Y,N,Y,derived:PRBD01N001
KR354302GE80,장내,1,AA+,2,crd_grd,364,1년미만,Y,N,Y,derived:PRBD01N001
KR354302GG21,장내,1,AA+,2,crd_grd,553,1-3년,Y,N,Y,derived:PRBD01N001
KR354401GDC7,장내,1,AAA,1,crd_grd,833,1-3년,Y,N,Y,derived:PRBD01N001
KR354401GEA9,장내,1,AAA,1,crd_grd,42,1년미만,Y,N,Y,derived:PRBD01N001
KR354403GF61,장내,1,AAA,1,crd_grd,478,1-3년,Y,N,Y,derived:PRBD01N001
KR354403GF79,장내,1,AAA,1,crd_grd,505,1-3년,Y,N,Y,derived:PRBD01N001
KR354403GG60,장내,1,AAA,1,crd_grd,292,1년미만,Y,N,Y,derived:PRBD01N001
KR354405GF69,장내,1,AAA,1,crd_grd,1032,1-3년,Y,N,Y,derived:PRBD01N001
KR354406GB13,장내,1,AAA,1,crd_grd,1608,3-5년,Y,N,Y,derived:PRBD01N001
KR354406GD94,장내,1,AAA,1,crd_grd,2572,5-10년,Y,N,Y,derived:PRBD01N001
KR354406GE51,장내,1,AAA,1,crd_grd,1727,3-5년,Y,N,Y,derived:PRBD01N001
KR354407GCC6,장내,1,AAA,1,crd_grd,4128,10년이상,Y,N,Y,derived:PRBD01N001
KR3544087330,장내,1,AAA,1,crd_grd,571,1-3년,Y,N,Y,derived:PRBD01N001
KR354408G665,장내,1,AAA,1,crd_grd,3574,5-10년,Y,N,Y,derived:PRBD01N001
KR354408G681,장내,1,AAA,1,crd_grd,3637,5-10년,Y,N,Y,derived:PRBD01N001
KR354408G9B4,장내,1,AAA,1,crd_grd,4827,10년이상,Y,N,Y,derived:PRBD01N001
KR354408GA12,장내,1,AAA,1,crd_grd,4890,10년이상,Y,N,Y,derived:PRBD01N001
KR354408GC44,장내,1,AAA,1,crd_grd,3883,10년이상,Y,N,Y,derived:PRBD01N001
KR354408GDA6,장내,1,AAA,1,crd_grd,1514,3-5년,Y,N,Y,derived:PRBD01N001
KR6010132F40,장내,1,AA,3,crd_grd,599,1-3년,Y,N,Y,derived:PRBD01N001
KR354408GG65,장내,1,AAA,1,crd_grd,665,1-3년,Y,N,Y,derived:PRBD01N001
KR354409GD34,장내,1,AAA,1,crd_grd,571,1-3년,Y,N,Y,derived:PRBD01N001
KR354411G826,장내,1,AAA,1,crd_grd,4204,10년이상,Y,N,Y,derived:PRBD01N001
KR354411GF20,장내,1,AAA,1,crd_grd,10404,10년이상,Y,N,Y,derived:PRBD01N001
KR354411GFC1,장내,1,AAA,1,crd_grd,848,1-3년,Y,N,Y,derived:PRBD01N001
KR354411GG86,장내,1,AAA,1,crd_grd,1819,3-5년,Y,N,Y,derived:PRBD01N001
KR354413GB22,장내,1,AAA,1,crd_grd,5296,10년이상,Y,N,Y,derived:PRBD01N001
KR354413GEC0,장내,1,AAA,1,crd_grd,485,1-3년,Y,N,Y,derived:PRBD01N001
KR354413GF69,장내,1,AAA,1,crd_grd,10534,10년이상,Y,N,Y,derived:PRBD01N001
KR354413GG27,장내,1,AAA,1,crd_grd,903,1-3년,Y,N,Y,derived:PRBD01N001
KR354414G7C8,장내,1,AAA,1,crd_grd,488,1-3년,Y,N,Y,derived:PRBD01N001
KR354414G9B6,장내,1,AAA,1,crd_grd,90,1년미만,Y,N,Y,derived:PRBD01N001
KR354415GB46,장내,1,AAA,1,crd_grd,1696,3-5년,Y,N,Y,derived:PRBD01N001
KR354415GF26,장내,1,AAA,1,crd_grd,188,1년미만,Y,N,Y,derived:PRBD01N001
KR354416G585,장내,1,AAA,1,crd_grd,1461,3-5년,Y,N,Y,derived:PRBD01N001
KR354416G593,장내,1,AAA,1,crd_grd,3315,5-10년,Y,N,Y,derived:PRBD01N001
KR354416G6C8,장내,1,AAA,1,crd_grd,3774,10년이상,Y,N,Y,derived:PRBD01N001
KR354416GAC1,장내,1,AAA,1,crd_grd,3399,5-10년,Y,N,Y,derived:PRBD01N001
KR354416GD19,장내,1,AAA,1,crd_grd,1248,3-5년,Y,N,Y,derived:PRBD01N001
KR354417GG49,장내,1,AAA,1,crd_grd,970,1-3년,Y,N,Y,derived:PRBD01N001
KR354418G854,장내,1,AAA,1,crd_grd,647,1-3년,Y,N,Y,derived:PRBD01N001
KR354418GEB1,장내,1,AAA,1,crd_grd,6672,10년이상,Y,N,Y,derived:PRBD01N001
KR354418GF23,장내,1,AAA,1,crd_grd,921,1-3년,Y,N,Y,derived:PRBD01N001
KR354419GD99,장내,1,AAA,1,crd_grd,760,1-3년,Y,N,Y,derived:PRBD01N001
KR354420GD62,장내,1,AAA,1,crd_grd,1399,3-5년,Y,N,Y,derived:PRBD01N001
KR354422GD60,장내,1,AAA,1,crd_grd,4321,10년이상,Y,N,Y,derived:PRBD01N001
KR354423G8C5,장내,1,AAA,1,crd_grd,2684,5-10년,Y,N,Y,derived:PRBD01N001
KR354424GD50,장내,1,AAA,1,crd_grd,6119,10년이상,Y,N,Y,derived:PRBD01N001
KR354424GD68,장내,1,AAA,1,crd_grd,9800,10년이상,Y,N,Y,derived:PRBD01N001
KR354427GC41,장내,1,AAA,1,crd_grd,248,1년미만,Y,N,Y,derived:PRBD01N001
KR354601GF95,장내,1,AAA,1,crd_grd,1474,3-5년,Y,N,Y,derived:PRBD01N001
KR354601GG86,장내,1,AAA,1,crd_grd,1809,3-5년,Y,N,Y,derived:PRBD01N001
KR354602G473,장내,1,AAA,1,crd_grd,1068,1-3년,Y,N,Y,derived:PRBD01N001
KR6004171EA7,장내,1,AA,3,crd_grd,47,1년미만,Y,N,Y,derived:PRBD01N001
KR354602G689,장내,1,AAA,1,crd_grd,3641,5-10년,Y,N,Y,derived:PRBD01N001
KR354602GD70,장내,1,AAA,1,crd_grd,9834,10년이상,Y,N,Y,derived:PRBD01N001
